TABLE,FIELD,DATA TYPE,SOURCE FILE,POPULATED?,SAMPLE / WHAT IT CONTAINS,CONNECTED TO,DEV: Business Purpose / Context,DEV: Quality Notes,DEV: Priority (High/Med/Low)
,,,,,,,,,,
===== SECTION 1: REFERENCE / LOOKUP DATA =====,,,,,,,,,,
step1_skills,id,UUID,skills.json,Yes,e.g. "abc-123-...","imported_contacts.legacy_data[].user_skills[].skill.id",,
step1_skills,name,String,skills.json,Yes,"Project Management / Brand Strategy / SEO",,The canonical skill name used across all records,Match to COS L2 taxonomy?,
step1_skills,l1_category,String,skills.json,Partial,Parent category name,,Which L1 category this skill belongs to,,
step1_industries,id,UUID,industry.json,Yes,e.g. "5aa9e889-...",,,,
step1_industries,name,String,industry.json,Yes,"Technology & Software / Healthcare / Financial Services",,Industry vertical name used across orgs + case studies,,
step1_markets,country_code,String,market-country.json,Yes,"US / GB / DE / AU",,2-letter ISO country code,,
step1_markets,country_name,String,market-country.json,Yes,"United States / United Kingdom",,Full country name,,
step1_languages,id,UUID,language.json,Yes,,,,
step1_languages,name,String,language.json,Yes,"English / Spanish / French",,Language used in org operations,,
,,,,,,,,,,
===== SECTION 2: imported_companies (21,170 records) =====,,,,,,,,,,
imported_companies,id,UUID,Generated,Yes,"590f4cad-6f49-4cf7-be43-2915a3fb949d",,Internal primary key,,
imported_companies,source_id,String,clients.json + organization.json,Yes,Same as id,,"Original ID from legacy system, useful for tracing records back",,
imported_companies,source,Enum,Script logic,Yes,"legacy_clients | legacy_organisations",,How to tell a client company from a service firm,,
imported_companies,name,String,clients.json + org.business_name,Yes,"Wild Tame Co. Ltd / Chameleon Collective",,Company display name,,High
imported_companies,domain,String,Extracted from website,Partial,"wildta.me / chameleon.co",,"Cleaned domain (no https:// www.) — used for deduplication and enrichment lookups",,High
imported_companies,description,Text,org.about,Partial (orgs only),"Text description of the firm","service_firms.description",Only populated for service org records — null for all client companies,,Med
imported_companies,industry,String,industry.name or org,Partial,"Healthcare / Technology & Software",,"Industry vertical — single string, may be inconsistent naming",,Med
imported_companies,location,String,Computed,Partial,"Birmingham Alabama US",,city + stateOrProvince + country joined with spaces,,Low
imported_companies,country,String,country field,Partial,"US / JP / GB",,2-letter ISO country code,,Med
imported_companies,size,String,no_of_employees,Partial,"25 / 150 / 500+",,"Employee count as raw string — inconsistent formats across records",,Low
imported_companies,linkedin_url,String,org.linkedinUrl,Partial (orgs only),"https://www.linkedin.com/company/...",,"Only present on org records, not client records",,Med
imported_companies,website_url,String,website field,Partial,"https://wildta.me",,"Full URL including protocol — used as enrichment source",,High
imported_companies,is_icp,Boolean,Script logic,Yes,"TRUE for orgs / FALSE for clients",,"TRUE = this is a service firm (ICP = Ideal Customer Profile for COS), FALSE = end client",,High
imported_companies,service_firm_id,UUID,service_firms.id,Partial,,service_firms,"When matched to a live COS firm, links here",,High
imported_companies,imported_company_id,UUID,Self,N/A,,,Placeholder for resolved duplicate detection,,Low
imported_companies,review_tags,JSONB,Script default,[],,[],Empty array — dev can tag records manually for review,,Med
imported_companies,legacy_data,JSONB,Full original row,Yes,Full raw JSON object,,Complete original record preserved for reference — never modified,,Low
imported_companies,meta,JSONB,Script generated,Yes,"{source, migratedAt, parentFirmId, parentFirmName}",,Audit trail: when migrated + parent firm reference (for client records),,Med
imported_companies,created_at,Timestamp,Auto,Yes,Import timestamp,,,,Low
imported_companies,updated_at,Timestamp,Auto,Yes,Import timestamp,,,,Low
,,,,,,,,,,
===== SECTION 3: imported_contacts (3,900 records) =====,,,,,,,,,,
imported_contacts,id,UUID,user-basic.json,Yes,"8825ae9a-6e44-406d-a830-964d5825074d",,Original user ID from legacy platform,,
imported_contacts,source_id,String,Same as id,Yes,,,,Same as id — legacy reference,,Low
imported_contacts,source,String,Script default,Yes,"legacy_users",,Always 'legacy_users' — all contacts came from one source,,Low
imported_contacts,company_id,UUID,organisation.id,Partial,,imported_companies,"FK to parent firm — ~80% populated, some contacts had no org",,High
imported_contacts,first_name,String,user.firstName,Partial,"Steven / Sarah",,Given name — null if only one name field was set,,High
imported_contacts,last_name,String,user.lastName,Partial,"Komarnitsky / Chen",,Surname — null if only one name field was set,,High
imported_contacts,name,String,Computed,Yes,"Steven Komarnitsky",,"Computed full name (firstName + lastName) — always present",,High
imported_contacts,email,String,user.email,Yes,"stevenk@ccgideas.com",,"Primary email — used as key for PDL enrichment lookup",,High
imported_contacts,title,String,user.title,Partial,"VP of Marketing / Fractional CMO",,"Job title at time of export — may be outdated",,Med
imported_contacts,linkedin_url,String,user_professional_information.linkedInUrl,Partial,"https://linkedin.com/in/...",,"LinkedIn profile URL — used as fallback key for PDL enrichment",,High
imported_contacts,photo_url,String,N/A,No (all null),null,,"Not stored in legacy system — would need PDL/LinkedIn enrichment",,Med
